Decomposition & iter & cols u & cols t & CPU & CPUmp & CPUpp & LB & gap & \\ \hline  % 20_48_1_3_0_0_0
&&&&&&&&&
 Unit  &18&179&0&2.62247&0.144204&2.39573&2372490&0.117545&  \\ 
Time  &114&0&3013&224.655&10.4977&212.843&2375210&0.00291193&  \\ 
Time 2  &69&0&1626&16.9038&6.97238&0.82324&2374680&0.0251813&  \\ 
Time 2 pmax  &50&0&1533&11.8592&4.91973&0.593124&2374680&0.0251813&  \\ 
Time 2 pmin  &53&0&1519&11.9333&4.64703&0.627318&2374680&0.0251813&  \\  \hline 
 Unit  &147&374&0&17.961&0.345221&17.0549&2181860&0.123141&  \\ 
Time  &94&0&3048&152.828&13.1505&138.524&2184550&0&  \\ 
Time 2  &56&0&1512&13.1728&5.44482&0.664655&2184050&0.0232474&  \\ 
Time 2 pmax  &56&0&1489&13.0457&5.29835&0.672514&2184050&0.0232474&  \\ 
Time 2 pmin  &59&0&1443&13.3682&5.25516&0.705902&2184050&0.0232474&  \\  \hline 
 Unit  &52&232&0&7.46864&0.177666&7.07848&2332490&0.0877564&  \\ 
Time  &117&0&2284&219.006&5.14111&212.647&2334380&0.00670368&  \\ 
Time 2  &60&0&1444&13.612&4.98173&0.717877&2334000&0.0230209&  \\ 
Time 2 pmax  &58&0&1446&12.828&4.87597&0.686089&2334000&0.0230209&  \\ 
Time 2 pmin  &61&0&1508&13.8005&5.36723&0.721336&2334000&0.0230209&  \\  \hline 
 Unit  &15&155&0&1.89842&0.112153&1.72449&1958080&0.138891&  \\ 
Time  &90&0&2669&157.747&8.38512&148.358&1960800&0&  \\ 
Time 2  &57&0&1467&15.4312&7.62186&0.662007&1960440&0.0184107&  \\ 
Time 2 pmax  &53&0&1518&12.1881&4.93595&0.612724&1960440&0.0184107&  \\ 
Time 2 pmin  &56&0&1567&13.0848&5.32981&0.659639&1960440&0.0184107&  \\  \hline 
 Unit  &45&190&0&5.62321&0.161193&5.27322&2149650&0.0995451&  \\ 
Time  &117&0&3283&277.878&10.0201&266.376&2151700&0.00425226&  \\ 
Time 2  &80&0&1646&20.2821&7.60037&0.997537&2151150&0.03021&  \\ 
Time 2 pmax  &69&0&1646&17.9671&8.07814&0.814551&2151150&0.03021&  \\ 
Time 2 pmin  &60&0&1626&17.6306&8.94041&0.71487&2151150&0.03021&  \\  \hline 
 Unit  &14&167&0&1.66922&0.135769&1.47089&1969970&0.129828&  \\ 
Time  &95&0&2957&183.519&9.6504&172.68&1972440&0.00468941&  \\ 
