Decomposition & iter & cols u & cols t & CPU & LB & gap & \\ \hline  % 20_24_1_3_0_0_0
 Unit  &26&316&0&3.76&967256&0.1952&  \\ 
Time  &32&0&462&7.55&969147&0&  \\ 
Overlapping  &93&1168&1583&65.14&969147&0&  \\  \hline 
 Unit  &27&332&0&4.26&926348&0.2965&  \\ 
Time  &44&0&602&13.34&929103&0&  \\ 
Overlapping  &112&1141&1814&111.56&929103&0&  \\  \hline 
 Unit  &34&361&0&4.85&858239&0.1102&  \\ 
Time  &42&0&545&12.09&859186&0&  \\ 
Overlapping  &97&1106&1646&70.48&859186&0&  \\  \hline 
 Unit  &23&287&0&3.45&900228&0.1560&  \\ 
Time  &45&0&614&13.73&901635&0&  \\ 
Overlapping  &112&1189&1821&108.74&901635&0&  \\  \hline 
 Unit  &36&347&0&5.12&1121450&0.0923&  \\ 
Time  &35&0&466&9.59&1122490&0&  \\ 
Overlapping  &100&1215&1768&80.10&1122490&0&  \\  \hline 
 Unit  &26&310&0&3.89&1152650&0.0718&  \\ 
Time  &41&0&540&14.16&1153480&0&  \\ 
Overlapping  &88&1062&1526&55.27&1153480&0&  \\  \hline 
 Unit  &27&321&0&4.02&984547&0.2280&  \\ 
Time  &39&0&566&9.80&986797&0&  \\ 
Overlapping  &102&1140&1755&81.26&986797&0&  \\  \hline 
 Unit  &39&343&0&6.07&1016990&0.0833&  \\ 
Time  &24&0&323&7.74&1017830&0.0007&  \\ 
Overlapping  &126&1339&1566&104.16&1017830&0.0007&  \\  \hline 
 Unit  &27&321&0&3.88&934218&0.0325&  \\ 
Time  &35&0&439&10.02&934521&0&  \\ 
Overlapping  &83&1084&1543&64.06&934521&0&  \\  \hline 
 Unit  &30&305&0&4.67&976250&0.0791&  \\ 
Time  &40&0&506&10.39&977023&0&  \\ 
Overlapping  &107&1236&1813&87.80&977023&0&  \\  \hline 
 Unit  &39&351&0&6.12&1019640&0.0480&  \\ 
Time  &29&0&422&6.45&1020130&0&  \\ 
Overlapping  &115&1232&1783&137.19&1020130&0&  \\  \hline 
 Unit  &32&373&0&4.79&1080160&0.0886&  \\ 
Time  &38&0&466&13.40&1081120&0&  \\ 
Overlapping  &95&1365&1735&56.13&1081120&0&  \\  \hline 
 Unit  &32&316&0&4.55&950818&0.0923&  \\ 
Time  &36&0&460&11.61&951697&0&  \\ 
Overlapping  &102&1251&1656&73.15&951697&0&  \\  \hline 
 Unit  &26&347&0&3.52&972203&0.0499&  \\ 
Time  &23&0&376&4.81&972689&0&  \\ 
Overlapping  &96&1253&1654&56.29&972689&0&  \\  \hline 
 Unit  &32&346&0&5.12&1058200&0.0963&  \\ 
Time  &35&0&524&7.81&1059220&0&  \\ 
Overlapping  &121&1284&1761&99.34&1059220&0&  \\  \hline 
 Unit  &30&312&0&4.16&952314&0.2363&  \\ 
Time  &42&0&502&14.07&954564&0.0006&  \\ 
Overlapping  &97&1239&1668&64.70&954564&0.0006&  \\  \hline 
 Unit  &35&330&0&5.12&1286260&0.0867&  \\ 
Time  &30&0&373&8.76&1287380&0&  \\ 
Overlapping  &96&1248&1737&58.97&1287380&0&  \\  \hline 
 Unit  &29&345&0&4.40&991818&0.1364&  \\ 
Time  &42&0&709&13.77&993173&0&  \\ 
Overlapping  &133&1262&1923&132.69&993173&0&  \\  \hline 
 Unit  &31&340&0&4.61&1311080&0.0758&  \\ 
Time  &43&0&524&13.75&1312070&0&  \\ 
Overlapping  &97&1172&1634&51.66&1312070&0&  \\  \hline 
 Unit  &34&360&0&5.26&1066700&0.0677&  \\ 
Time  &56&0&580&22.11&1067420&0&  \\ 
Overlapping  &102&1215&1773&70.62&1067420&0&  \\  \hline 
Unit&30.75&333.15&0&4.582&1026368.45&0.1161&  \\ 
Time  &37.55&0&499.95&11.247&1027533.75&0.0001&  \\ 
Overlapping  &103.7&1210.05&1707.95&81.465&1027533.75&0.0001&  \\  \hline 
