Decomposition & iter & cols u & cols t & CPU & CPUmp & CPUpp & LB & gap & \\ \hline  % 10_24_1_3_0_1_0
&&&&&&&&&
Switch eq 0.  &136&0&2532&56.7793&15.7424&51.1808&147346&0.515495&  \\ 
Switch ineq 0.  &161&0&2738&72.4402&20.6201&66.0545&147346&0.515495&  \\ 
Switch eq 0.25  &94&0&1856&35.0006&8.98189&32.0156&147346&0.515495&  \\ 
Switch ineq 0.25  &63&0&1292&23.5374&6.05673&21.7187&147346&0.515495&  \\ 
Switch eq 0.5  &99&0&1861&40.226&9.01255&37.1392&147346&0.515495&  \\ 
Switch ineq 0.5  &72&0&1387&25.2249&5.30972&23.1897&147346&0.515495&  \\ 
Switch eq 0.75  &90&0&1837&30.8794&7.34989&27.872&147346&0.515495&  \\ 
Switch ineq 0.75  &67&0&1298&23.1388&5.24459&21.3311&147346&0.515495&  \\ 
Switch eq 1.  &102&0&1862&46.5371&10.6614&43.4151&147346&0.515495&  \\ 
Switch ineq 1.  &70&0&1297&28.1777&5.90765&26.3494&147346&0.515495&  \\  \hline 
Switch eq 0.  &130&0&2381&35.465&9.93645&30.6711&144340&4.03268E-14&  \\ 
Switch ineq 0.  &128&0&2295&37.373&10.1475&32.4876&144340&8.06535E-14&  \\ 
Switch eq 0.25  &99&0&1915&25.8555&4.28768&22.6176&144340&3.83104E-13&  \\ 
Switch ineq 0.25  &59&0&1084&12.6991&1.48742&11.409&144340&4.03268E-14&  \\ 
Switch eq 0.5  &87&0&1724&28.2891&6.99885&25.8783&144340&4.03268E-14&  \\ 
Switch ineq 0.5  &60&0&1142&16.3508&4.92935&14.9622&144340&4.03268E-14&  \\ 
Switch eq 0.75  &113&0&1860&41.9438&11.7862&38.9334&144340&4.03268E-14&  \\ 
Switch ineq 0.75  &56&0&1186&12.2506&2.14454&10.7181&144340&4.03268E-14&  \\ 
Switch eq 1.  &97&0&1871&29.1048&6.11073&26.2271&144340&6.04902E-14&  \\ 
Switch ineq 1.  &51&0&1064&12.4625&3.10774&11.1732&144340&4.03268E-14&  \\  \hline 
Switch eq 0.  &135&0&2527&45.6911&6.40804&39.7561&159166&0.17686&  \\ 
Switch ineq 0.  &147&0&2420&54.4842&7.18872&48.4713&159166&0.17686&  \\ 
Switch eq 0.25  &107&0&1993&41.5166&4.11239&37.7307&159166&0.17686&  \\ 
Switch ineq 0.25  &72&0&1307&25.1621&2.94525&23.1871&159166&0.17686&  \\ 
Switch eq 0.5  &95&0&1875&30.8116&3.95168&27.1887&159166&0.17686&  \\ 
Switch ineq 0.5  &65&0&1322&19.956&2.25207&18.1184&159166&0.17686&  \\ 
Switch eq 0.75  &94&0&1884&34.4845&4.53144&31.0785&159166&0.17686&  \\ 
Switch ineq 0.75  &78&0&1355&24.1723&3.10559&22.1324&159166&0.17686&  \\ 
Switch eq 1.  &96&0&1880&36.3178&3.87184&32.8526&159166&0.17686&  \\ 
Switch ineq 1.  &70&0&1367&25.3885&2.29432&23.5142&159166&0.17686&  \\  \hline 
Switch eq 0.  &126&0&2291&51.7218&6.73688&46.9284&154642&0.101745&  \\ 
Switch ineq 0.  &129&0&2325&39.7097&4.70288&35.2527&154642&0.101745&  \\ 
Switch eq 0.25  &101&0&1873&39.3611&3.69631&36.0688&154642&0.101745&  \\ 
Switch ineq 0.25  &68&0&1259&24.2834&1.93836&22.6251&154641&0.101745&  \\ 
Switch eq 0.5  &92&0&1819&30.7622&3.23366&27.7208&154642&0.101745&  \\ 
Switch ineq 0.5  &72&0&1353&27.8013&2.60845&25.4264&154642&0.101745&  \\ 
Switch eq 0.75  &94&0&1870&30.2264&3.00866&27.4068&154642&0.101745&  \\ 
Switch ineq 0.75  &73&0&1394&24.3275&1.89513&22.6355&154642&0.101745&  \\ 
Switch eq 1.  &95&0&1856&38.2797&4.4148&34.312&154642&0.101745&  \\ 
Switch ineq 1.  &74&0&1292&28.211&2.0315&26.3455&154642&0.101745&  \\  \hline 
Switch eq 0.  &130&0&2372&82.4542&15.8055&76.7004&179796&0.65792&  \\ 
Switch ineq 0.  &155&0&2510&92.7154&21.0925&86.6598&179796&0.65792&  \\ 
Switch eq 0.25  &105&0&1903&48.692&8.73978&45.6225&179796&0.65792&  \\ 
Switch ineq 0.25  &77&0&1483&33.3589&5.2472&31.3376&179796&0.65792&  \\ 
Switch eq 0.5  &100&0&1837&52.0261&7.47453&49.0221&179796&0.65792&  \\ 
Switch ineq 0.5  &76&0&1433&37.4947&6.0954&35.4698&179796&0.65792&  \\ 
Switch eq 0.75  &106&0&1969&61.1401&10.1622&56.9512&179796&0.65792&  \\ 
Switch ineq 0.75  &72&0&1416&35.3469&6.21866&33.1352&179796&0.65792&  \\ 
Switch eq 1.  &96&0&1894&50.2131&7.71675&46.6152&179796&0.65792&  \\ 
Switch ineq 1.  &78&0&1491&44.216&7.66642&41.9262&179796&0.65792&  \\  \hline 
Switch eq 0.  &122&0&2407&73.7955&12.8768&68.636&161230&0.196434&  \\ 
Switch ineq 0.  &130&0&2326&85.479&16.189&80.4488&161230&0.196434&  \\ 
Switch eq 0.25  &92&0&1853&53.0156&8.02464&50.1379&161230&0.196434&  \\ 
Switch ineq 0.25  &73&0&1453&31.2251&4.42921&29.1603&161230&0.196434&  \\ 
Switch eq 0.5  &101&0&1980&52.7913&8.9722&49.3685&161230&0.196434&  \\ 
