Decomposition & iter & cols u & cols t & CPU & CPUmp & CPUpp & LB & gap & \\ \hline  % 10_24_1_3_0_1_0
&&&&&&&&&
 Unit  &31&232&0&2.47951&0.094861&2.31098&134713&9.04498&  \\ 
Time  &16&0&298&0.648741&0.132065&0.47491&146241&1.2622&  \\ 
Time 2  &26&0&354&1.76277&0.184365&0.13885&146241&1.2622&  \\ 
Time 2 pmax  &18&0&313&1.21133&0.105052&0.09779&146241&1.2622&  \\ 
Switch 0.  &137&0&2541&56.947&16.0097&51.7832&147346&0.515495&  \\ 
Switch >= 0.  &162&0&2732&57.0262&18.6742&51.388&147346&0.515495&  \\ 
Switch 0.25  &116&0&2029&38.9829&8.49858&35.5679&147346&0.515495&  \\ 
Switch >= 0.25  &63&0&1259&18.6336&4.87754&17.2654&147346&0.515495&  \\ 
Switch 0.5  &97&0&1873&32.0746&8.24271&29.3529&147346&0.515495&  \\ 
Switch >= 0.5  &67&0&1318&21.269&5.18864&19.776&147347&0.515495&  \\ 
Switch 0.75  &106&0&1967&34.3198&8.65211&31.1468&147346&0.515495&  \\ 
Switch >= 0.75  &67&0&1305&20.7341&5.86855&19.2154&147346&0.515495&  \\ 
Switch 1. &103&0&1934&34.8823&7.31119&31.8531&147347&0.515495&  \\ 
Switch >= 1. &67&0&1181&18.6283&4.82832&17.2461&147346&0.515495&  \\ 
Overlapping  &47&351&625&7.24413&0&0&146241&1.2622&  \\  \hline 
 Unit  &37&264&0&2.96032&0.102058&2.78314&133125&7.76999&  \\ 
Time  &20&0&253&0.769474&0.115402&0.611046&144124&0.149647&  \\ 
Time 2  &19&0&311&1.28156&0.124643&0.111195&144124&0.149647&  \\ 
Time 2 pmax  &14&0&191&0.894145&0.045439&0.08013&144124&0.149647&  \\ 
Switch 0.  &133&0&2428&32.1566&11.0732&27.0887&144340&4.03268E-14&  \\ 
Switch >= 0.  &114&0&2134&25.3231&7.33385&21.3969&144340&4.03268E-14&  \\ 
Switch 0.25  &109&0&2046&24.2163&4.14097&20.5507&144340&4.03268E-14&  \\ 
Switch >= 0.25  &56&0&1186&12.2287&3.88808&11.1268&144340&4.03268E-14&  \\ 
Switch 0.5  &109&0&1918&23.0782&4.60123&20.2064&144340&4.03268E-14&  \\ 
Switch >= 0.5  &58&0&1128&11.5792&1.45163&10.4997&144340&4.03268E-14&  \\ 
Switch 0.75  &102&0&2005&23.9356&6.24824&20.9564&144340&4.03268E-14&  \\ 
Switch >= 0.75  &59&0&1241&11.4234&2.42545&10.0236&144340&4.03268E-14&  \\ 
Switch 1. &101&0&1917&25.6729&3.50827&22.9452&144340&4.03268E-14&  \\ 
Switch >= 1. &59&0&1207&11.4503&2.09892&10.0953&144340&4.03268E-14&  \\ 
Overlapping  &47&354&644&6.8343&0&0&144124&0.149647&  \\  \hline 
 Unit  &36&287&0&2.82611&0.124214&2.62509&147862&7.26636&  \\ 
Time  &21&0&284&0.819499&0.137441&0.634889&158818&0.394979&  \\ 
Time 2  &21&0&324&1.77874&0.170849&0.134272&158818&0.394979&  \\ 
Time 2 pmax  &20&0&256&1.34357&0.087363&0.103263&158818&0.394979&  \\ 
Switch 0.  &139&0&2599&48.874&6.83819&42.7586&159166&0.17686&  \\ 
Switch >= 0.  &128&0&2410&38.296&6.69741&33.0809&159166&0.17686&  \\ 
Switch 0.25  &113&0&2000&34.3413&4.66204&30.6451&159166&0.17686&  \\ 
Switch >= 0.25  &67&0&1318&16.915&2.20072&15.2147&159166&0.17686&  \\ 
Switch 0.5  &109&0&2023&34.8596&4.54054&31.24&159166&0.17686&  \\ 
Switch >= 0.5  &83&0&1551&23.2618&3.06889&20.9631&159166&0.17686&  \\ 
Switch 0.75  &119&0&2057&42.806&4.34466&39.0027&159166&0.17686&  \\ 
Switch >= 0.75  &71&0&1383&19.4718&2.09428&17.7705&159166&0.17686&  \\ 
Switch 1. &108&0&2086&36.8088&4.15452&33.1999&159166&0.17686&  \\ 
Switch >= 1. &80&0&1422&24.1655&2.28844&22.2406&159166&0.17686&  \\ 
Overlapping  &41&348&625&6.06278&0&0&158818&0.394979&  \\  \hline 
 Unit  &30&242&0&2.27079&0.095346&2.11339&140717&9.09674&  \\ 
Time  &16&0&249&0.623829&0.109358&0.47739&153569&0.794837&  \\ 
Time 2  &27&0&356&1.90175&0.188915&0.222515&153569&0.794837&  \\ 
Time 2 pmax  &14&0&214&0.947645&0.051543&0.113113&153569&0.794837&  \\ 
Switch 0.  &124&0&2469&36.4636&6.15475&31.2127&154642&0.101745&  \\ 
Switch >= 0.  &144&0&2427&48.6541&4.56451&44.3716&154642&0.101745&  \\ 
Switch 0.25  &111&0&1938&40.7906&3.56773&37.5145&154642&0.101745&  \\ 
Switch >= 0.25  &76&0&1391&19.5235&2.09665&17.676&154642&0.101745&  \\ 
Switch 0.5  &109&0&1861&46.7478&3.24621&43.8812&154642&0.101745&  \\ 
Switch >= 0.5  &75&0&1371&20.091&2.14676&18.494&154642&0.101745&  \\ 
Switch 0.75  &118&0&1922&41.6577&3.37843&38.6226&154642&0.101745&  \\ 
Switch >= 0.75  &77&0&1410&21.6032&2.14788&19.7655&154642&0.101745&  \\ 
Switch 1. &113&0&1941&38.1118&3.42263&35.0334&154642&0.101745&  \\ 
Switch >= 1. &79&0&1357&22.4816&1.84783&20.8147&154642&0.101745&  \\ 
Overlapping  &60&350&670&9.12434&0&0&153569&0.794837&  \\  \hline 
 Unit  &38&288&0&2.91665&0.12093&2.71819&167032&7.71033&  \\ 
Time  &21&0&297&0.844076&0.151643&0.646765&178290&1.49039&  \\ 
Time 2  &20&0&328&1.35755&0.154117&0.107054&178290&1.49039&  \\ 
Time 2 pmax  &20&0&295&1.32056&0.102796&0.108024&178290&1.49039&  \\ 
Switch 0.  &131&0&2493&58.3293&12.9732&53.1116&179796&0.65792&  \\ 
Switch >= 0.  &170&0&2620&91.4181&20.2792&85.5076&179796&0.65792&  \\ 
Switch 0.25  &102&0&1990&45.7051&6.94848&42.4252&179796&0.65792&  \\ 
Switch >= 0.25  &80&0&1469&35.2687&6.83288&33.2911&179796&0.65792&  \\ 
Switch 0.5  &115&0&1990&53.5037&8.43747&49.9296&179796&0.65792&  \\ 
Switch >= 0.5  &75&0&1416&36.7967&5.4863&34.8784&179796&0.65792&  \\ 
Switch 0.75  &98&0&1839&40.9213&6.43925&38.1051&179796&0.65792&  \\ 
Switch >= 0.75  &80&0&1531&35.7572&6.44061&33.6408&179796&0.65792&  \\ 
Switch 1. &90&0&1842&34.9444&5.98745&32.1347&179796&0.65792&  \\ 
Switch >= 1. &74&0&1447&29.083&6.03193&27.1821&179796&0.65792&  \\ 
Overlapping  &43&348&592&6.24969&0&0&178290&1.49039&  \\  \hline 
 Unit  &43&310&0&3.45184&0.133926&3.22008&148921&7.81582&  \\ 
Time  &14&0&249&0.561133&0.116076&0.409354&159866&1.04025&  \\ 
Time 2  &17&0&304&1.17394&0.137764&0.090464&159866&1.04025&  \\ 
