Decomposition & iter & cols u & cols t & CPU & CPUmp & CPUpp & LB & gap & \\ \hline  % 10_24_1_3_0_1_0

 Unit  & 22 & 180 & 0 & 1.41552 & 0.05287 & 1.31475 & 134713 & 9.04498 &  \\ 
Time  & 26 & 0 & 389 & 1.38044 & 0.206088 & 1.09362 & 146241 & 1.2622 &  \\ 
Switch  & 0 & 0 & 3326 & 76.4457 & 27.5061 & 61.4319 & 147346 & 0.515495 &  \\ 
Switch with ineq & 0 & 0 & 2948 & 73.8445 & 22.5015 & 63.2 & 147346 & 0.515495 &  \\  \hline 
 Unit  & 20 & 159 & 0 & 1.24807 & 0.051761 & 1.15391 & 133125 & 7.76999 &  \\ 
Time  & 21 & 0 & 278 & 0.85301 & 0.124876 & 0.682313 & 144124 & 0.149647 &  \\ 
Switch  & 0 & 0 & 2797 & 59.299 & 18.3305 & 47.1633 & 144340 & 0 &  \\ 
Switch with ineq & 0 & 0 & 2487 & 38.8445 & 13.2279 & 31.2133 & 144340 & 0 &  \\  \hline 
 Unit  & 23 & 187 & 0 & 1.35749 & 0.057651 & 1.25566 & 147862 & 7.26636 &  \\ 
Time  & 20 & 0 & 335 & 0.828276 & 0.153701 & 0.629972 & 158818 & 0.394979 &  \\ 
Switch  & 0 & 0 & 3177 & 60.0109 & 15.9533 & 44.6193 & 159166 & 0.17686 &  \\ 
Switch with ineq & 0 & 0 & 2980 & 58.7764 & 13.1052 & 46.7783 & 159166 & 0.17686 &  \\  \hline 
 Unit  & 20 & 165 & 0 & 1.33137 & 0.052537 & 1.23661 & 140717 & 9.09674 &  \\ 
Time  & 22 & 0 & 303 & 0.975827 & 0.143471 & 0.779912 & 153569 & 0.794837 &  \\ 
Switch  & 0 & 0 & 3820 & 99.2915 & 17.6837 & 83.1995 & 154641 & 0.101745 &  \\ 
Switch with ineq & 0 & 0 & 3050 & 79.758 & 12.2936 & 69.8962 & 154642 & 0.101745 &  \\  \hline 
 Unit  & 24 & 183 & 0 & 1.46864 & 0.05992 & 1.36291 & 167032 & 7.71033 &  \\ 
Time  & 22 & 0 & 327 & 0.922401 & 0.158906 & 0.716314 & 178290 & 1.49039 &  \\ 
Switch  & 0 & 0 & 3421 & 122.438 & 25.5745 & 106.956 & 179796 & 0.65792 &  \\ 
Switch with ineq & 0 & 0 & 2838 & 102.411 & 18.6534 & 93.5781 & 179796 & 0.65792 &  \\  \hline 
 Unit  & 22 & 185 & 0 & 1.28929 & 0.061052 & 1.18507 & 148921 & 7.81582 &  \\ 
Time  & 17 & 0 & 271 & 0.693149 & 0.124466 & 0.53062 & 159866 & 1.04025 &  \\ 
Switch  & 0 & 0 & 4001 & 159.507 & 36.7119 & 141.499 & 161230 & 0.196434 &  \\ 
Switch with ineq & 0 & 0 & 3023 & 109.158 & 20.7955 & 98.6469 & 161230 & 0.196434 &  \\  \hline 
 Unit  & 29 & 175 & 0 & 1.91339 & 0.05187 & 1.80546 & 98863.2 & 10.7967 &  \\ 
Time  & 22 & 0 & 239 & 0.854175 & 0.092911 & 0.715987 & 109788 & 0.939398 &  \\ 
Switch  & 0 & 0 & 3593 & 66.9143 & 14.08 & 52.9821 & 110816 & 0.0117298 &  \\ 
Switch with ineq & 0 & 0 & 3197 & 75.5454 & 11.2356 & 64.4981 & 110816 & 0.0117298 &  \\  \hline 
 Unit  & 22 & 177 & 0 & 1.33187 & 0.054339 & 1.23388 & 155749 & 8.04138 &  \\ 
Time  & 20 & 0 & 358 & 0.858364 & 0.191277 & 0.621399 & 167076 & 1.35389 &  \\ 
Switch  & 0 & 0 & 3448 & 80.5501 & 22.5444 & 64.5949 & 168973 & 0.233576 &  \\ 
Switch with ineq & 0 & 0 & 3189 & 76.8029 & 15.4232 & 64.4805 & 168973 & 0.233576 &  \\  \hline 
 Unit  & 24 & 200 & 0 & 1.39778 & 0.066185 & 1.28414 & 143341 & 9.30587 &  \\ 
Time  & 17 & 0 & 310 & 0.711803 & 0.137767 & 0.533805 & 154334 & 2.35059 &  \\ 
Switch  & 0 & 0 & 3396 & 102.493 & 18.65 & 88.7717 & 156778 & 0.804231 &  \\ 
Switch with ineq & 0 & 0 & 2626 & 80.1458 & 10.7276 & 71.4392 & 156778 & 0.804231 &  \\  \hline 
 Unit  & 23 & 195 & 0 & 1.38516 & 0.062004 & 1.27554 & 115743 & 7.34565 &  \\ 
Time  & 19 & 0 & 267 & 0.808877 & 0.115312 & 0.649637 & 124183 & 0.589222 &  \\ 
Switch  & 0 & 0 & 3256 & 240.894 & 23.6693 & 229.166 & 124863 & 0.0451292 &  \\ 
Switch with ineq & 0 & 0 & 2752 & 88.2541 & 9.16274 & 81.2262 & 124863 & 0.0451292 &  \\  \hline 
